 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50,Mean51,Mean52,Mean53,Mean54,Mean55,Mean56,Mean57,Mean58,Mean59
270,1657.000,1478.007,1225.408,1304.702,1171.748,1532.238,1342.734,2005.973,1547.643,1538.127,1701.613,1554.741,1351.049,1341.020,1470.987,1470.400,2279.663,1616.802,1432.766,1669.290,1456.615,1338.224,1626.595,1232.564,1447.454,1585.572,1940.890,1541.120,1797.140,1753.181,1760.291,1362.066,1601.610,2204.978,1414.995,1424.821,2504.564,2405.336,1284.099,1453.160,1690.023,1371.582,1318.879,1223.516,1628.064,1210.221,1531.765,1969.494,1362.680,1404.620,1226.081,2381.930,1383.253,1290.426,1987.736,1284.018,1333.813,1335.516,1311.153
271,1675.279,1442.014,1196.828,1324.393,1168.583,1551.762,1338.367,1946.842,1545.439,1539.223,1699.633,1571.035,1356.533,1374.354,1433.592,1431.462,2322.621,1608.397,1393.406,1740.517,1458.418,1340.836,1634.595,1257.707,1457.711,1607.703,1967.779,1518.451,1687.070,1696.333,1772.033,1376.603,1619.228,2203.692,1451.786,1408.857,2491.752,2371.550,1302.571,1387.820,1652.115,1359.322,1347.924,1208.852,1682.641,1208.442,1555.185,1939.570,1345.165,1365.612,1230.015,2377.030,1403.343,1268.648,1967.861,1259.652,1282.346,1321.049,1334.492
272,1688.035,1483.068,1204.115,1316.929,1169.122,1527.781,1334.468,1826.014,1524.310,1561.847,1650.628,1552.350,1342.041,1348.253,1458.368,1420.972,2288.221,1630.177,1408.859,1726.028,1435.912,1317.097,1635.431,1256.486,1439.072,1553.131,1992.691,1545.500,1744.775,1681.944,1778.692,1389.483,1639.669,2219.099,1430.417,1407.214,2555.782,2381.305,1314.462,1349.141,1585.023,1367.486,1369.394,1249.453,1659.718,1191.468,1582.346,1895.405,1351.078,1381.605,1235.963,2389.880,1407.808,1322.019,2022.208,1278.723,1303.944,1333.090,1308.212
273,1666.000,1474.110,1185.943,1328.286,1167.468,1540.205,1362.917,1729.377,1535.801,1541.911,1628.623,1536.322,1334.271,1360.000,1477.132,1347.635,2248.221,1641.198,1401.570,1722.372,1476.429,1357.018,1629.235,1274.993,1457.691,1567.352,1981.735,1565.549,1749.062,1709.528,1791.308,1393.060,1586.125,2227.264,1450.802,1475.089,2512.301,2388.076,1273.758,1314.121,1513.084,1366.977,1362.242,1217.180,1673.718,1195.169,1636.494,1946.614,1376.505,1402.527,1220.272,2354.620,1426.192,1297.605,1970.042,1277.205,1324.607,1309.549,1310.407
274,1708.814,1468.007,1192.011,1346.060,1161.791,1520.543,1358.743,1604.938,1526.784,1537.586,1623.789,1562.406,1368.590,1351.515,1453.513,1305.759,2307.726,1612.713,1406.211,1713.745,1440.747,1350.230,1663.405,1275.014,1450.650,1547.124,1985.390,1539.418,1727.977,1717.014,1757.714,1360.748,1684.397,2228.934,1428.813,1447.911,2566.436,2397.832,1300.978,1289.801,1502.626,1359.701,1362.015,1215.977,1681.167,1182.201,1572.444,1892.696,1344.942,1391.411,1220.868,2418.260,1407.808,1285.858,1990.347,1261.027,1278.056,1329.213,1327.737
275,1694.163,1443.712,1187.598,1329.500,1159.914,1516.430,1364.413,1505.075,1534.836,1529.229,1612.090,1570.762,1340.967,1373.586,1421.039,1275.331,2276.811,1593.419,1381.078,1694.841,1420.022,1360.897,1644.000,1259.429,1420.794,1587.869,1995.897,1563.255,1762.225,1647.000,1778.473,1364.563,1599.860,2253.242,1446.257,1429.875,2479.519,2435.015,1290.121,1253.219,1438.634,1356.932,1342.015,1218.578,1619.564,1185.688,1562.173,1917.215,1351.243,1362.078,1230.853,2351.100,1406.283,1308.537,2017.569,1260.232,1296.449,1333.812,1315.500
276,1715.151,1486.637,1185.649,1328.976,1168.453,1504.729,1333.422,1443.575,1516.304,1539.121,1624.472,1547.636,1373.033,1349.273,1450.355,1279.414,2279.653,1622.154,1379.852,1744.228,1494.242,1372.636,1652.418,1272.300,1412.835,1581.931,1942.309,1552.321,1721.736,1715.694,1782.626,1376.762,1618.007,2237.165,1439.080,1458.125,2478.248,2405.466,1275.275,1245.267,1358.664,1345.621,1347.242,1213.461,1631.526,1197.214,1543.617,1939.804,1336.311,1355.054,1237.728,2397.540,1413.222,1318.772,2040.014,1259.875,1307.449,1348.721,1323.517
277,1669.465,1437.637,1220.201,1318.774,1184.935,1543.444,1360.248,1555.671,1542.310,1563.796,1730.065,1558.112,1342.738,1358.232,1466.763,1352.103,2264.758,1605.713,1531.711,1729.786,1496.000,1374.345,1680.386,1281.107,1454.031,1578.034,1881.235,1523.457,1747.845,1768.958,1792.720,1385.722,1621.463,2239.594,1437.583,1421.804,2525.962,2388.786,1309.022,1303.602,1511.840,1360.424,1368.879,1204.664,1688.128,1200.766,1549.346,1892.943,1373.068,1391.806,1238.698,2357.060,1410.889,1304.549,1965.847,1273.696,1326.112,1333.443,1347.653
278,1684.465,1438.185,1223.845,1358.548,1191.209,1536.689,1347.284,1917.603,1536.234,1565.592,1784.724,1571.224,1326.836,1352.182,1466.434,1526.635,2278.811,1629.052,1524.984,1715.103,1497.604,1358.249,1660.235,1254.750,1458.392,1553.821,1934.353,1575.489,1770.860,1802.319,1764.077,1377.960,1599.581,2206.417,1453.396,1458.982,2541.609,2353.779,1308.824,1441.684,1708.588,1381.887,1363.818,1215.516,1679.244,1193.045,1550.272,1931.386,1381.262,1387.171,1229.243,2336.030,1413.697,1296.685,2018.556,1237.982,1340.439,1326.115,1322.831
279,1673.791,1456.753,1202.713,1325.417,1173.978,1542.742,1365.541,1940.767,1532.661,1554.350,1732.065,1585.566,1338.393,1356.980,1496.763,1490.938,2250.126,1602.625,1454.828,1731.559,1439.319,1325.733,1653.641,1247.500,1418.464,1595.103,1975.588,1554.386,1755.992,1751.861,1751.918,1385.934,1592.493,2267.022,1439.583,1464.071,2497.481,2431.405,1288.462,1417.922,1676.405,1378.994,1382.076,1231.875,1619.885,1193.123,1597.309,1930.089,1343.699,1369.760,1213.206,2403.480,1387.051,1322.253,2032.014,1254.875,1335.533,1320.771,1299.881
